Question	Options	Answer	Remark	PageNum
01. 栈和队列具有相同的( )。	A.抽象数据类型<br>B.逻辑结构<br>C.存储结构<br>D.运算	B	• 栈和队列都是线性结构，属于<strong>逻辑结构</strong><br>• 抽象数据类型包含数据对象、数据关系及基本操作<br>• 存储结构有顺序、链式等<br>• 运算有入栈、出栈、入队、出队等	69
02. 栈是一种( )。	A.顺序存储的线性结构<br>B.链式存储的非线性结构<br>C.限制存取点的线性结构<br>D.限制存取点的非线性结构	C	• 栈是线性表，可采用顺序或链式存储<br>• 它是<strong>操作受限的线性表</strong>，只允许在一端进行插入和删除操作	69
03. 下列选项中，( )不是栈的基本操作。	A.删除栈顶元素<br>B.删除栈底元素<br>C.判断栈是否为空<br>D.将栈置为空栈	B	• 栈的基本操作有初始化、入栈、出栈、取栈顶元素、判断栈空等<br>• <strong>栈底元素</strong>一般不直接删除	69
04. 假定用数组a[n]存储一个栈，初始栈顶指针top=-1，则元素x进栈的操作是( )。	A.a[--top]=x<br>B.a[top--]=x<br>C.a[++top]=x<br>D.a[top++]=x	C	• 栈顶指针top初始为-1，进栈时top先<strong>加1</strong>指向0位置，再将x存入	69
05. 假定用数组a[1...n]存储一个栈，初始栈顶指针top=1，则元素x进栈的操作是( )。	A.data[top--]=x<br>B.data[top++]=x<br>C.data[--top]=x<br>D.data[++top]=x	D	• 栈向高地址增长：先存x到a[top]位置，再将top<strong>加1</strong>（注意：数组下标从1开始，初始top=1指向第一个空位）	69
06. 假定用数组a[1...n]存储一个栈，初始栈顶指针top=n+1，则元素x进栈的操作是( )。	A.data[--top]=x<br>B.data[top++]=x<br>C.data[top--]=x<br>D.data[++top]=x	A	• 栈向低地址增长：top先<strong>减1</strong>指向新位置，再存入x	69
07. 设有一个空栈，栈顶指针为1000H，栈向高地址方向增长，每个元素需要一个存储单元，执行Push、Push、Pop、Push、Pop、Push、Pop、Push操作后，栈顶指针的值为( )。	A.1002H<br>B.1003H<br>C.1004H<br>D.1005H	A	• <strong>Push操作top加1，Pop操作top减1</strong><br>• 操作序列：2次Push→1次Pop→2次Push→2次Pop→2次Push（最终top=1002H）	69
08. 和顺序栈相比，链栈有一个比较明显的优势是( )。	A.通常不会出现栈满的情况<br>B.通常不会出现栈空的情况<br>C.插入操作更容易实现<br>D.删除操作更容易实现	A	• 链栈动态分配内存，<strong>只要内存足够就不会栈满</strong><br>• 顺序栈固定大小易上溢	69
09. 设链表不带头结点且所有操作均在表头进行，则下列最不适合作为链栈的是( )。	A.只有表头结点指针，没有表尾指针的双向循环链表<br>B.只有表尾结点指针，没有表头指针的双向循环链表<br>C.只有表头结点指针，没有表尾指针的单向循环链表<br>D.只有表尾结点指针，没有表头指针的单向循环链表	C	• 单向循环链表删除尾结点需遍历整个链表，<strong>时间复杂度O(n)</strong>，效率最低	69
10. 向一个栈顶指针为top的链栈（不带头结点）中插入一个x结点，则执行( )。	A.top->next=x<br>B.x->next=top->next; top->next=x<br>C.x->next=top; top=x<br>D.x->next=top; top=top->next	C	• 新结点x插入表头：<code>x->next=top; top=x</code>	69
